Project,Report's URL,Sentence,Location Mentioned,"Admin 1
Governorate/ Province","Admin 2
Provincial Capital","Admin 3
District",Admin 4,
,,"Mazen Khaled, an advisor to Anbar governor, told Baghdad Today that 172 families were returned home to Hit and Obaidi from refugee camps in the province",Hit ,Al Anbar / Anbar,Ramadi,"Hit
",,
,,"Mazen Khaled, an advisor to Anbar governor, told Baghdad Today that 172 families were returned home to Hit and Obaidi from refugee camps in the province",Obaidi,Al Anbar/ Anbar,Al Ubaidi,,,
,http://edition.cnn.com/2017/12/19/middleeast/iraq-kurdish-protests/index.html,"Five people died during demonstrations over unpaid civil servant salaries and rising tensions with Baghdad in the Kurdish city of Rania in Sulaymaniyah province, according to Miran Mohammad, the provincial health director.
","Baghdad
","Baghdad
","Baghdad
","
",,
,,"Five people died during demonstrations over unpaid civil servant salaries and rising tensions with Baghdad in the Kurdish city of Rania in Sulaymaniyah province, according to Miran Mohammad, the provincial health director.
",Rania ,Al- Sulaymaniyah,Sulaymaniyah,Rania,,
,,"Five people died during demonstrations over unpaid civil servant salaries and rising tensions with Baghdad in the Kurdish city of Rania in Sulaymaniyah province, according to Miran Mohammad, the provincial health director.
",Sulaymaniyah,Al- Sulaymaniyah,Sulaymaniyah,,,
,,"The protests started Monday -- including in the cities of Sulaymaniyah and Halabja -- as Kurdish civil servants demanded unpaid salaries and other demonstrators angrily called for better water, power and other public services.

","Sulaymaniyah
","Al -Sulaymaniyah
","Sulaymaniyah
",,,
,,"The protests started Monday -- including in the cities of Sulaymaniyah and Halabja -- as Kurdish civil servants demanded unpaid salaries and other demonstrators angrily called for better water, power and other public services.

",Halabja,Kurdistan Region,Halabja,,,
,,"The government said it recognized citizens' right to protests and expressed concern over ""activities that were not a part of civilian movements"" that contributed to the violence, especially in Sulaymaniyah province.

",Sulaymaniyah,Al -Sulaymaniyah,Sulaymaniyah,,,
,,"Videos on social media appeared to show protesters setting fire to buildings connected to the government, as well as the Patriotic Union of Kurdistan (PUK) and Kurdish Democratic Party of Iraq (KDP) in Sulaymaniyah, Kuya and Taktak. Tires and cars also were set ablaze.
","Sulaymaniyah
","Al -Sulaymaniyah
","Sulaymaniyah
","
",,
,,"Videos on social media appeared to show protesters setting fire to buildings connected to the government, as well as the Patriotic Union of Kurdistan (PUK) and Kurdish Democratic Party of Iraq (KDP) in Sulaymaniyah, Kuya and Taktak. Tires and cars also were set ablaze.
",Kuya,Erbil/ Arbil(K.R),Koi Sanjaq,Rubar I Koya,,
,,"Videos on social media appeared to show protesters setting fire to buildings connected to the government, as well as the Patriotic Union of Kurdistan (PUK) and Kurdish Democratic Party of Iraq (KDP) in Sulaymaniyah, Kuya and Taktak. Tires and cars also were set ablaze.
",Taktak,Erbil/Arbil (K.R),Koi Sanjaq,Taqtaq,,
,,"The regional government has been in financial straits since 2014. Baghdad reduced funding to the region when the KRG decided to bypass the central government and moved ahead with a controversial plan for a Kurdish -controlled pipeline to carry oil from Kirkuk to Turkey.
","Baghdad
Kirkuk","Baghdad
Kirkuk","Baghdad
Kirkuk",,,
,,"The regional government has been in financial straits since 2014. Baghdad reduced funding to the region when the KRG decided to bypass the central government and moved ahead with a controversial plan for a Kurdish -controlled pipeline to carry oil from Kirkuk to Turkey.
",Kirkuk,Kirkuk,Kirkuk,,,
